X,Y,Estimate
1,2,0.878
1,3,0.947
1,4,0.944
1,5,0.873
1,6,0.973
1,7,0.977
1,8,0.967
1,9,0.994
1,10,0.944
1,11,0.927
1,12,0.727
1,13,0.92
1,14,0.969
1,15,0.896
1,16,0.945
1,17,0.914
1,18,0.862
1,19,0.176
1,20,0.933
1,21,0.951
1,22,0.875
1,23,0.949
1,24,0.832
1,25,0.955
1,26,0.952
1,27,0.944
1,28,0.979
1,29,0.998
2,3,0.918
2,4,0.968
2,5,0.904
2,6,0.932
2,7,0.878
2,8,0.918
2,9,0.893
2,10,0.948
2,11,0.961
2,12,0.918
2,13,0.976
2,14,0.944
2,15,0.961
2,16,0.981
2,17,0.924
2,18,0.997
2,19,0.555
2,20,0.794
2,21,0.891
2,22,0.97
2,23,0.942
2,24,0.869
2,25,0.757
2,26,0.797
2,27,0.784
2,28,0.868
2,29,0.87
3,4,0.929
3,5,0.882
3,6,0.95
3,7,0.975
3,8,0.953
3,9,0.927
3,10,0.928
3,11,0.988
3,12,0.765
3,13,0.94
3,14,0.952
3,15,0.862
3,16,0.939
3,17,0.948
3,18,0.889
3,19,0.287
3,20,0.95
3,21,0.902
3,22,0.954
3,23,0.941
3,24,0.897
3,25,0.883
3,26,0.946
3,27,0.939
3,28,0.965
3,29,0.935
4,5,0.857
4,6,0.987
4,7,0.943
4,8,0.927
4,9,0.95
4,10,0.94
4,11,0.945
4,12,0.818
4,13,0.946
4,14,0.993
4,15,0.985
4,16,0.985
4,17,0.889
4,18,0.967
4,19,0.374
4,20,0.862
4,21,0.91
4,22,0.922
4,23,0.935
4,24,0.803
4,25,0.83
4,26,0.88
4,27,0.867
4,28,0.941
4,29,0.934
5,6,0.84
5,7,0.82
5,8,0.962
5,9,0.899
5,10,0.974
5,11,0.915
5,12,0.922
5,13,0.965
5,14,0.85
5,15,0.826
5,16,0.917
5,17,0.979
5,18,0.884
5,19,0.504
5,20,0.762
5,21,0.96
5,22,0.928
5,23,0.976
5,24,0.961
5,25,0.857
5,26,0.757
5,27,0.746
5,28,0.808
5,29,0.888
6,7,0.977
6,8,0.933
6,9,0.968
6,10,0.927
6,11,0.947
6,12,0.754
6,13,0.926
6,14,0.998
6,15,0.956
6,16,0.966
6,17,0.888
6,18,0.923
6,19,0.266
6,20,0.912
6,21,0.91
6,22,0.906
6,23,0.927
6,24,0.8
6,25,0.877
6,26,0.935
6,27,0.924
6,28,0.98
6,29,0.963
7,8,0.934
7,9,0.955
7,10,0.901
7,11,0.946
7,12,0.676
7,13,0.895
7,14,0.974
7,15,0.879
7,16,0.926
7,17,0.89
7,18,0.856
7,19,0.149
7,20,0.972
7,21,0.897
7,22,0.888
7,23,0.911
7,24,0.81
7,25,0.915
7,26,0.982
7,27,0.975
7,28,0.998
7,29,0.964
8,9,0.974
8,10,0.991
8,11,0.955
8,12,0.837
8,13,0.972
8,14,0.938
8,15,0.878
8,16,0.962
8,17,0.977
8,18,0.898
8,19,0.325
8,20,0.888
8,21,0.987
8,22,0.928
8,23,0.995
8,24,0.92
8,25,0.937
8,26,0.889
8,27,0.88
8,28,0.925
8,29,0.972
9,10,0.963
9,11,0.919
9,12,0.768
9,13,0.935
9,14,0.966
9,15,0.914
9,16,0.957
9,17,0.92
9,18,0.881
9,19,0.228
9,20,0.898
9,21,0.971
9,22,0.876
9,23,0.964
9,24,0.838
9,25,0.951
9,26,0.919
9,27,0.909
9,28,0.958
9,29,0.997
10,11,0.949
10,12,0.894
10,13,0.988
10,14,0.935
10,15,0.91
10,16,0.977
10,17,0.974
10,18,0.936
10,19,0.422
10,20,0.835
10,21,0.985
10,22,0.938
10,23,0.999
10,24,0.917
10,25,0.895
10,26,0.839
10,27,0.827
10,28,0.892
10,29,0.951
11,12,0.845
11,13,0.972
11,14,0.953
11,15,0.895
11,16,0.962
11,17,0.967
11,18,0.936
11,19,0.417
11,20,0.899
11,21,0.907
11,22,0.987
11,23,0.957
11,24,0.924
11,25,0.842
11,26,0.896
11,27,0.886
11,28,0.935
11,29,0.916
12,13,0.926
12,14,0.772
12,15,0.837
12,16,0.878
12,17,0.892
12,18,0.917
12,19,0.76
12,20,0.581
12,21,0.828
12,22,0.905
12,23,0.883
12,24,0.893
12,25,0.638
12,26,0.578
12,27,0.563
12,28,0.663
12,29,0.735
13,14,0.936
13,15,0.92
13,16,0.984
13,17,0.98
13,18,0.962
13,19,0.505
13,20,0.826
13,21,0.948
13,22,0.975
13,23,0.988
13,24,0.936
13,25,0.841
13,26,0.826
13,27,0.814
13,28,0.884
13,29,0.92
14,15,0.962
14,16,0.975
14,17,0.895
14,18,0.936
14,19,0.293
14,20,0.907
14,21,0.915
14,22,0.916
14,23,0.934
14,24,0.808
14,25,0.87
14,26,0.926
14,27,0.914
14,28,0.974
14,29,0.958
15,16,0.966
15,17,0.839
15,18,0.972
15,19,0.44
15,20,0.78
15,21,0.873
15,22,0.885
15,23,0.897
15,24,0.752
15,25,0.766
15,26,0.806
15,27,0.792
15,28,0.883
15,29,0.888
16,17,0.939
16,18,0.976
16,19,0.431
16,20,0.85
16,21,0.944
16,22,0.948
16,23,0.973
16,24,0.867
16,25,0.846
16,26,0.858
16,27,0.846
16,28,0.92
16,29,0.94
17,18,0.896
17,19,0.455
17,20,0.846
