X,Y,Estimate
17,21,0.946
17,22,0.967
17,23,0.982
17,24,0.98
17,25,0.875
17,26,0.84
17,27,0.83
17,28,0.877
17,29,0.917
18,19,0.565
18,20,0.764
18,21,0.878
18,22,0.947
18,23,0.926
18,24,0.834
18,25,0.734
18,26,0.77
18,27,0.756
18,28,0.848
18,29,0.854
19,20,0.035
19,21,0.311
19,22,0.545
19,23,0.404
19,24,0.529
19,25,0.044
19,26,0.028
19,27,0.01
19,28,0.134
19,29,0.178
20,21,0.84
20,22,0.83
20,23,0.853
20,24,0.776
20,25,0.914
20,26,0.991
20,27,0.994
20,28,0.966
20,29,0.92
21,22,0.881
21,23,0.984
21,24,0.882
21,25,0.941
21,26,0.847
21,27,0.836
21,28,0.89
21,29,0.965
22,23,0.943
22,24,0.946
22,25,0.779
22,26,0.825
22,27,0.813
22,28,0.876
22,29,0.866
23,24,0.929
23,25,0.905
23,26,0.854
23,27,0.843
23,28,0.902
23,29,0.955
24,25,0.808
24,26,0.764
24,27,0.755
24,28,0.795
24,29,0.837
25,26,0.924
25,27,0.922
25,28,0.917
25,29,0.966
26,27,0.999
26,28,0.984
26,29,0.939
27,28,0.977
27,29,0.93
28,29,0.967
