X,Y,Estimate
5,24,0.947
5,25,0.86
5,26,0.807
5,27,0.64
5,28,0.869
5,29,0.82
5,30,0.684
6,7,0.884
6,8,0.844
6,9,0.825
6,10,0.89
6,11,0.915
6,12,0.884
6,13,0.848
6,14,0.625
6,15,0.841
6,16,0.539
6,17,0.838
6,18,0.828
6,19,0.82
6,20,0.79
6,21,0.869
6,22,0.862
6,23,0.976
6,24,0.853
6,25,0.94
6,26,0.615
6,27,0.459
6,28,0.962
6,29,0.816
6,30,0.452
7,8,0.791
7,9,0.913
7,10,0.88
7,11,0.94
7,12,0.821
7,13,0.762
7,14,0.612
7,15,0.775
7,16,0.446
7,17,0.887
7,18,0.792
7,19,0.807
7,20,0.739
7,21,0.908
7,22,0.936
7,23,0.873
7,24,0.955
7,25,0.933
7,26,0.744
7,27,0.482
7,28,0.871
7,29,0.894
7,30,0.523
8,9,0.926
8,10,0.885
8,11,0.938
8,12,0.981
8,13,0.921
8,14,0.885
8,15,0.892
8,16,0.787
8,17,0.871
8,18,0.883
8,19,0.961
8,20,0.975
8,21,0.826
8,22,0.766
8,23,0.93
8,24,0.908
8,25,0.872
8,26,0.773
8,27,0.766
8,28,0.908
8,29,0.856
8,30,0.785
9,10,0.872
9,11,0.972
9,12,0.923
9,13,0.85
9,14,0.786
9,15,0.89
9,16,0.594
9,17,0.881
9,18,0.817
9,19,0.953
9,20,0.871
9,21,0.866
9,22,0.871
9,23,0.885
9,24,0.975
9,25,0.9
9,26,0.768
9,27,0.677
9,28,0.851
9,29,0.895
9,30,0.723
10,11,0.901
10,12,0.849
10,13,0.936
10,14,0.8
10,15,0.74
10,16,0.712
10,17,0.985
10,18,0.938
10,19,0.838
10,20,0.863
10,21,0.985
10,22,0.924
10,23,0.928
10,24,0.905
10,25,0.945
10,26,0.795
10,27,0.728
10,28,0.934
10,29,0.968
10,30,0.737
11,12,0.959
11,13,0.863
11,14,0.746
11,15,0.899
11,16,0.603
11,17,0.892
11,18,0.86
11,19,0.93
11,20,0.889
11,21,0.88
11,22,0.887
11,23,0.947
11,24,0.974
11,25,0.952
11,26,0.767
11,27,0.594
11,28,0.927
11,29,0.882
11,30,0.633
12,13,0.865
12,14,0.809
12,15,0.933
12,16,0.711
12,17,0.832
12,18,0.849
12,19,0.953
12,20,0.945
12,21,0.795
12,22,0.76
12,23,0.945
12,24,0.912
12,25,0.877
12,26,0.743
12,27,0.651
12,28,0.92
12,29,0.815
12,30,0.674
13,14,0.811
13,15,0.808
13,16,0.727
13,17,0.886
13,18,0.895
13,19,0.89
13,20,0.881
13,21,0.888
13,22,0.842
13,23,0.92
13,24,0.828
13,25,0.898
13,26,0.639
13,27,0.757
13,28,0.878
13,29,0.872
13,30,0.759
14,15,0.683
14,16,0.836
14,17,0.832
14,18,0.745
14,19,0.843
14,20,0.88
14,21,0.754
14,22,0.578
14,23,0.755
14,24,0.794
14,25,0.653
14,26,0.827
14,27,0.955
14,28,0.746
14,29,0.838
14,30,0.938
15,16,0.493
15,17,0.707
15,18,0.686
15,19,0.957
15,20,0.796
15,21,0.714
15,22,0.727
15,23,0.894
15,24,0.839
15,25,0.802
15,26,0.529
15,27,0.545
15,28,0.8
15,29,0.722
15,30,0.566
16,17,0.717
16,18,0.829
16,19,0.642
16,20,0.884
16,21,0.626
16,22,0.471
16,23,0.646
16,24,0.605
16,25,0.587
16,26,0.759
16,27,0.805
16,28,0.729
16,29,0.679
16,30,0.79
17,18,0.915
17,19,0.827
17,20,0.854
17,21,0.983
17,22,0.901
17,23,0.886
17,24,0.928
17,25,0.907
17,26,0.868
17,27,0.768
17,28,0.904
17,29,0.989
17,30,0.783
18,19,0.779
18,20,0.92
18,21,0.89
18,22,0.857
18,23,0.87
18,24,0.832
18,25,0.916
18,26,0.786
18,27,0.671
18,28,0.923
18,29,0.871
18,30,0.703
19,20,0.89
19,21,0.81
19,22,0.775
19,23,0.908
19,24,0.912
19,25,0.836
19,26,0.683
19,27,0.741
19,28,0.837
19,29,0.845
19,30,0.762
20,21,0.79
20,22,0.717
20,23,0.878
20,24,0.863
20,25,0.838
20,26,0.815
20,27,0.767
20,28,0.902
20,29,0.827
20,30,0.787
21,22,0.947
21,23,0.894
21,24,0.908
21,25,0.925
21,26,0.782
21,27,0.697
21,28,0.897
21,29,0.981
21,30,0.709
22,23,0.855
22,24,0.881
22,25,0.958
22,26,0.659
22,27,0.514
22,28,0.844
22,29,0.898
22,30,0.563
23,24,0.899
23,25,0.94
23,26,0.684
23,27,0.61
23,28,0.97
23,29,0.87
23,30,0.607
24,25,0.91
24,26,0.845
24,27,0.67
24,28,0.888
24,29,0.935
24,30,0.708
25,26,0.698
25,27,0.53
25,28,0.94
25,29,0.882
25,30,0.565
26,27,0.742
26,28,0.761
26,29,0.85
26,30,0.774
27,28,0.595
27,29,0.789
27,30,0.982
28,29,0.874
28,30,0.59
29,30,0.801
